,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,N21,N22,N23,N24,N25,N26,N27,Entrance,Checkout
N0,0.0,0.091,0.182,0.273,0.364,0.455,0.545,0.091,0.182,0.273,0.364,0.455,0.545,0.636,0.182,0.273,0.364,0.455,0.545,0.636,0.727,0.273,0.364,0.455,0.545,0.636,0.727,0.818,0.091,0.636
N1,0.091,0.0,0.091,0.182,0.273,0.364,0.455,0.182,0.091,0.182,0.273,0.364,0.455,0.545,0.273,0.182,0.273,0.364,0.455,0.545,0.636,0.364,0.273,0.364,0.455,0.545,0.636,0.727,0.182,0.545
N2,0.182,0.091,0.0,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.455,0.364,0.273,0.182,0.273,0.364,0.455,0.545,0.455,0.364,0.273,0.364,0.455,0.545,0.636,0.273,0.455
N3,0.273,0.182,0.091,0.0,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.455,0.364,0.273,0.182,0.273,0.364,0.455,0.545,0.455,0.364,0.273,0.364,0.455,0.545,0.364,0.364
N4,0.364,0.273,0.182,0.091,0.0,0.091,0.182,0.455,0.364,0.273,0.182,0.091,0.182,0.273,0.545,0.455,0.364,0.273,0.182,0.273,0.364,0.636,0.545,0.455,0.364,0.273,0.364,0.455,0.455,0.273
N5,0.455,0.364,0.273,0.182,0.091,0.0,0.091,0.545,0.455,0.364,0.273,0.182,0.091,0.182,0.636,0.545,0.455,0.364,0.273,0.182,0.273,0.727,0.636,0.545,0.455,0.364,0.273,0.364,0.545,0.182
N6,0.545,0.455,0.364,0.273,0.182,0.091,0.0,0.636,0.545,0.455,0.364,0.273,0.182,0.091,0.727,0.636,0.545,0.455,0.364,0.273,0.182,0.818,0.727,0.636,0.545,0.455,0.364,0.273,0.636,0.091
N7,0.091,0.182,0.273,0.364,0.455,0.545,0.636,0.0,0.091,0.182,0.273,0.364,0.455,0.545,0.091,0.182,0.273,0.364,0.455,0.545,0.636,0.182,0.273,0.364,0.455,0.545,0.636,0.727,0.129,0.674
N8,0.182,0.091,0.182,0.273,0.364,0.455,0.545,0.091,0.0,0.091,0.182,0.273,0.364,0.455,0.182,0.091,0.182,0.273,0.364,0.455,0.545,0.273,0.182,0.273,0.364,0.455,0.545,0.636,0.219,0.583
N9,0.273,0.182,0.091,0.182,0.273,0.364,0.455,0.182,0.091,0.0,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.455,0.364,0.273,0.182,0.273,0.364,0.455,0.545,0.31,0.492
N10,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.0,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.455,0.364,0.273,0.182,0.273,0.364,0.455,0.401,0.401
N11,0.455,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.0,0.091,0.182,0.455,0.364,0.273,0.182,0.091,0.182,0.273,0.545,0.455,0.364,0.273,0.182,0.273,0.364,0.492,0.31
N12,0.545,0.455,0.364,0.273,0.182,0.091,0.182,0.455,0.364,0.273,0.182,0.091,0.0,0.091,0.545,0.455,0.364,0.273,0.182,0.091,0.182,0.636,0.545,0.455,0.364,0.273,0.182,0.273,0.583,0.219
N13,0.636,0.545,0.455,0.364,0.273,0.182,0.091,0.545,0.455,0.364,0.273,0.182,0.091,0.0,0.636,0.545,0.455,0.364,0.273,0.182,0.091,0.727,0.636,0.545,0.455,0.364,0.273,0.182,0.674,0.129
N14,0.182,0.273,0.364,0.455,0.545,0.636,0.727,0.091,0.182,0.273,0.364,0.455,0.545,0.636,0.0,0.091,0.182,0.273,0.364,0.455,0.545,0.091,0.182,0.273,0.364,0.455,0.545,0.636,0.219,0.765
N15,0.273,0.182,0.273,0.364,0.455,0.545,0.636,0.182,0.091,0.182,0.273,0.364,0.455,0.545,0.091,0.0,0.091,0.182,0.273,0.364,0.455,0.182,0.091,0.182,0.273,0.364,0.455,0.545,0.31,0.674
N16,0.364,0.273,0.182,0.273,0.364,0.455,0.545,0.273,0.182,0.091,0.182,0.273,0.364,0.455,0.182,0.091,0.0,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.455,0.401,0.583
N17,0.455,0.364,0.273,0.182,0.273,0.364,0.455,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.0,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.492,0.492
N18,0.545,0.455,0.364,0.273,0.182,0.273,0.364,0.455,0.364,0.273,0.182,0.091,0.182,0.273,0.364,0.273,0.182,0.091,0.0,0.091,0.182,0.455,0.364,0.273,0.182,0.091,0.182,0.273,0.583,0.401
N19,0.636,0.545,0.455,0.364,0.273,0.182,0.273,0.545,0.455,0.364,0.273,0.182,0.091,0.182,0.455,0.364,0.273,0.182,0.091,0.0,0.091,0.545,0.455,0.364,0.273,0.182,0.091,0.182,0.674,0.31
N20,0.727,0.636,0.545,0.455,0.364,0.273,0.182,0.636,0.545,0.455,0.364,0.273,0.182,0.091,0.545,0.455,0.364,0.273,0.182,0.091,0.0,0.636,0.545,0.455,0.364,0.273,0.182,0.091,0.765,0.219
